p,n,runtime,scaler,speedup
1,2,0.000000001,0,0
1,4,0.000000001,0,0
1,8,0.000000001,0,0
1,16,0.000000001,0,0
1,32,0.000000001,0,0
1,64,0.001,0,0
1,128,0.008,0.01,1.25
1,256,0.071,0.17,2.394366197
1,512,0.567,0.98,1.728395062
1,1024,5.726,12.15,2.121900105
1,2048,58.947,139.66,2.369246951
1,4096,835.088,1915.1,2.293291246
2,2,0.000000001,0,0
2,4,0.000000001,0,0
2,8,0.000000001,0,0
2,16,0.000000001,0,0
2,32,0.000000001,0,0
2,64,0.001,0,0
2,128,0.004,0.01,2.5
2,256,0.038,0.17,4.473684211
2,512,0.328,0.98,2.987804878
2,1024,4.193,12.15,2.897686621
2,2048,29.439,139.66,4.744047012
2,4096,429.553,1915.1,4.458355546
3,2,0.000000001,0,0
3,4,0.000000001,0,0
3,8,0.000000001,0,0
3,16,0.000000001,0,0
3,32,0.001,0,0
3,64,0.000000001,0,0
3,128,0.003,0.01,3.333333333
3,256,0.024,0.17,7.083333333
3,512,0.248,0.98,3.951612903
3,1024,2.143,12.15,5.669622025
3,2048,22.29,139.66,6.265589951
3,4096,297.521,1915.1,6.436856558
4,2,0.000000001,0,0
4,4,0.000000001,0,0
4,8,0.000000001,0,0
4,16,0.000000001,0,0
4,32,0.000000001,0,0
4,64,0.000000001,0,0
4,128,0.002,0.01,5
4,256,0.018,0.17,9.444444444
4,512,0.182,0.98,5.384615385
4,1024,1.689,12.15,7.193605684
4,2048,19.127,139.66,7.301720082
4,4096,238.631,1915.1,8.025361332
5,2,0.000000001,0,0
5,4,0.000000001,0,0
5,8,0.000000001,0,0
5,16,0.000000001,0,0
5,32,0.000000001,0,0
5,64,0.001,0,0
5,128,0.003,0.01,3.333333333
5,256,0.022,0.17,7.727272727
5,512,0.16,0.98,6.125
5,1024,1.5,12.15,8.1
5,2048,17.152,139.66,8.142490672
5,4096,192.669,1915.1,9.939845019
6,2,0.001,0,0
6,4,0.000000001,0,0
6,8,0.000000001,0,0
6,16,0.000000001,0,0
6,32,0.000000001,0,0
6,64,0.000000001,0,0
6,128,0.003,0.01,3.333333333
6,256,0.019,0.17,8.947368421
6,512,0.143,0.98,6.853146853
6,1024,1.3,12.15,9.346153846
6,2048,16.725,139.66,8.350373692
6,4096,174.446,1915.1,10.97818236
7,2,0.000000001,0,0
7,4,0.000000001,0,0
7,8,0.001,0,0
7,16,0.000000001,0,0
7,32,0.000000001,0,0
7,64,0.001,0,0
7,128,0.003,0.01,3.333333333
7,256,0.016,0.17,10.625
7,512,0.136,0.98,7.205882353
7,1024,1.208,12.15,10.05794702
7,2048,14.523,139.66,9.616470426
7,4096,172,1915.1,11.13430233
8,2,0.000000001,0,0
8,4,0.000000001,0,0
8,8,0.000000001,0,0
8,16,0.000000001,0,0
8,32,0.000000001,0,0
8,64,0.000000001,0,0
8,128,0.002,0.01,5
8,256,0.014,0.17,12.14285714
8,512,0.121,0.98,8.099173554
8,1024,1.147,12.15,10.59285092
8,2048,13.048,139.66,10.7035561
8,4096,148.009,1915.1,12.93907803
